"","x"
"1",0.920317832124634
"2",0.921933484961848
"3",0.914562471481832
"4",0.913005310419264
"5",0.918915906378642
"6",0.923971218671193
"7",0.913559977394349
"8",0.912577641277044
"9",0.913013383277214
"10",0.918330442586179
"11",0.912789095461807
"12",0.914483857669422
"13",0.914109125052688
"14",0.918056234600962
"15",0.916814483777177
"16",0.915643114888423
"17",0.915314867090821
"18",0.911407380097574
"19",0.915150634859585
"20",0.919758501243857
"21",0.916298157096216
"22",0.910899599244939
"23",0.911103491785384
"24",0.909024680418719
"25",0.90385855088272
"26",0.910968934092312
"27",0.913007726767977
"28",0.914533184458749
"29",0.912158741961921
"30",0.912712981812091
"31",0.914720174449983
"32",0.91665424148261
"33",0.913295802550766
"34",0.914116459984331
"35",0.914050315047978
"36",0.919836471643865
"37",0.919836471643865
"38",0.909440760205691
"39",0.914876807903329
"40",0.91919319185716
"41",0.917009733195968
"42",0.912389052215527
"43",0.913211765700994
"44",0.919055752205766
"45",0.917744395349041
"46",0.913863312300306
"47",0.920565525330115
"48",0.920632594722081
"49",0.913817277315763
"50",0.914688587961572
"51",0.919447241215933
"52",0.914287083985507
"53",0.917188877933244
"54",0.908659781169595
"55",0.911916244497761
"56",0.918984958555543
"57",0.914295215531948
"58",0.910705443992476
"59",0.914952372527583
"60",0.920160968491926
"61",0.918838113905622
"62",0.912881040666263
"63",0.912690188539588
"64",0.90923108967833
"65",0.910165101438758
"66",0.912819027337488
"67",0.913086543066009
"68",0.914373213612085
"69",0.91250552887165
"70",0.907225075274587
"71",0.915399039479802
"72",0.914776576813462
"73",0.913726320567519
"74",0.910612060702671
"75",0.908363562487501
"76",0.916003289301522
"77",0.915730113459003
"78",0.915730113459003
"79",0.915367425982857
"80",0.917474893627165
"81",0.913127185719799
"82",0.918337387969573
"83",0.910186340095509
"84",0.909681084521783
"85",0.91544813287278
"86",0.916818130257967
"87",0.907673777799365
"88",0.905261021581974
"89",0.914263187767014
"90",0.917304874134186
"91",0.918122643412709
"92",0.91334736137833
"93",0.912218750047525
"94",0.912218750047525
"95",0.914339480608213
"96",0.913683627253359
"97",0.913054829364914
"98",0.91435259762006
"99",0.907111676128999
"100",0.912537338384465
"101",0.916763340872884
"102",0.920187856006204
"103",0.917598970289154
"104",0.910179099046689
"105",0.910552397534332
"106",0.915115822105637
"107",0.909745941129964
"108",0.910028041639134
"109",0.914866858739381
"110",0.920072458363269
"111",0.916781283824841
"112",0.915737713926698
"113",0.906659106163803
"114",0.91121724185272
"115",0.911372618724449
"116",0.914244323276766
"117",0.913523789367005
"118",0.911289730861465
"119",0.908336172926288
"120",0.911532840471392
"121",0.914125509829829
"122",0.919098772013469
"123",0.916851996441115
"124",0.914587647369658
"125",0.914289708574281
"126",0.908333480590068
"127",0.915112344195759
"128",0.922913734783653
"129",0.917106507381733
"130",0.915086690460761
"131",0.912151047069374
"132",0.913909747437086
"133",0.911396575727656
"134",0.910481630727327
"135",0.91182129394634
"136",0.909940449441675
"137",0.914728966757445
"138",0.911502347330074
"139",0.915476269489513
"140",0.907858750807355
"141",0.907858750807355
"142",0.911788161188599
"143",0.911198765459129
"144",0.912147461469714
"145",0.911491250442525
"146",0.911788502438412
"147",0.910746147250476
"148",0.908178019276234
"149",0.904973389031525
"150",0.909409105464443
"151",0.913412982492936
"152",0.905714476630319
"153",0.912805810379485
"154",0.915703618645994
"155",0.913396055273394
"156",0.912966807055385
"157",0.915105428620195
"158",0.911426191019894
"159",0.916228344369855
"160",0.911830647771055
"161",0.91783705340877
"162",0.91820764998778
"163",0.913495822536361
"164",0.912465309735534
"165",0.914605145657793
"166",0.914373938448888
"167",0.916795030647508
"168",0.915103563619139
"169",0.916033307518362
"170",0.913948642658455
"171",0.907760942646487
"172",0.917040226146203
"173",0.917882181396256
"174",0.918956604217248
"175",0.906041788127001
"176",0.90759678431927
"177",0.91058795153903
"178",0.905198016475494
"179",0.906562256043694
"180",0.904453208120694
"181",0.903580003724995
"182",0.908236132823886
"183",0.908142498176906
"184",0.908590437132286
"185",0.911310524901768
"186",0.915200058532086
"187",0.910888228966281
"188",0.912094538695656
"189",0.91030220291965
"190",0.912612906737109
"191",0.908689007344847
"192",0.914513109447026
"193",0.913162761172774
"194",0.916686414254274
"195",0.907978780691876
"196",0.916171399602083
"197",0.912851117530784
"198",0.912851117530784
"199",0.908371553054495
"200",0.908110006902785
"201",0.910271860388323
"202",0.910271860388323
"203",0.916549769406286
"204",0.915392383284567
"205",0.910479603310737
"206",0.905736762652991
"207",0.914260479036114
"208",0.916512478727368
"209",0.913573846199684
"210",0.908790436320326
"211",0.909794679562716
"212",0.907275809499493
"213",0.908041194693464
"214",0.909586070311026
"215",0.915109044991739
"216",0.919918809951445
"217",0.912682336442046
"218",0.918674944896476
"219",0.910731780472609
"220",0.918981253503069
"221",0.915819831873666
"222",0.914797590987443
"223",0.917129360819832
"224",0.918198229410767
"225",0.910021525859181
"226",0.916044655533919
"227",0.908695611970696
"228",0.911586259473762
"229",0.910712105420072
"230",0.910339593949329
"231",0.914422328881432
"232",0.908007512796006
"233",0.909564156313902
"234",0.918611279216547
"235",0.913570566242003
"236",0.913880200301234
"237",0.911189159431193
"238",0.904267944298383
"239",0.912101139455498
"240",0.91856355674085
"241",0.913778962897743
"242",0.910868130884701
"243",0.910931126552179
"244",0.914679692573224
"245",0.923283668531408
"246",0.907827828719692
"247",0.915404167709925
"248",0.916215447412706
"249",0.914298150660774
"250",0.914051007165746
"251",0.916180834593533
"252",0.911117203890411
"253",0.914422713589422
"254",0.918857873210024
"255",0.918746775667757
"256",0.913419602513875
"257",0.913209208244614
"258",0.914264009820521
"259",0.91332838259506
"260",0.912553422734583
"261",0.917309471979951
"262",0.914912707922363
"263",0.918650163995799
"264",0.924062362029563
"265",0.926268691552124
"266",0.918768813441724
"267",0.919508981943013
"268",0.919705074504332
"269",0.923978083165458
"270",0.916809701156046
"271",0.921317002578717
"272",0.914575369648561
"273",0.916356352813926
"274",0.916356352813926
"275",0.910040219028546
"276",0.915300862351704
"277",0.914596229892935
"278",0.914596229892935
"279",0.92188967152369
"280",0.919795211698705
"281",0.915349792527899
"282",0.924089657930677
"283",0.915658305740509
"284",0.920372847607166
"285",0.91033417893792
"286",0.913105533132581
"287",0.911878829040938
"288",0.910795306869082
"289",0.910875903548322
"290",0.910875903548322
"291",0.91618777475973
"292",0.913002964108323
"293",0.91049768793836
"294",0.91049768793836
"295",0.91049768793836
"296",0.910855691411862
"297",0.912651626797161
"298",0.91208794591928
"299",0.910454333417204
"300",0.917096823996861
"301",0.918589206832138
"302",0.913665221973232
"303",0.909508362891899
"304",0.9122601667926
"305",0.917942870532432
"306",0.920201420051226
"307",0.906045228187331
"308",0.909990425414682
"309",0.915541114300055
"310",0.912377070127754
"311",0.91266262248091
"312",0.91266262248091
"313",0.910934563476891
"314",0.913163568984074
"315",0.907402161100498
"316",0.911619232553353
"317",0.909283770495131
"318",0.918856275176628
"319",0.919885602723133
"320",0.923112487177063
"321",0.914948150895516
"322",0.910579568022592
"323",0.909906245282748
"324",0.91393720334278
"325",0.914787186729411
"326",0.91040912588351
"327",0.908494423435431
"328",0.914350874722645
"329",0.918786317920389
"330",0.917424698959147
"331",0.912994093537047
"332",0.918033428353125
"333",0.912062213377657
"334",0.916392802784997
"335",0.913752246499919
"336",0.914341313629303
"337",0.913465340905879
"338",0.913465340905879
"339",0.911955227552168
"340",0.912438514380736
"341",0.914743301577778
"342",0.919345268136129
"343",0.912185408907854
"344",0.912510745942498
"345",0.917577958814089
"346",0.915493732081416
